Champion,Skill,Skill Name,Primary Damage Stat,Base,ATK or DEF Buff,Book,Mastery,Total,Damage Bonus from Books,DamageGrade,Target
Saito,A3,Army Breaker,ATK,18978,1.5,1.15,1.00,32737,15,Godlike,Single Target
Little Miss Annie,A2,Hollow Doll,ATK,18910,1.5,1.15,1.00,32620,15,Godlike,Single Target
Perforator,A2,Hardened Tips,ATK,18084,1.5,1.2,1.00,32551,20,Strong,Single Target
Gerhard the Stone,A2,Show of Valor,ATK,16655,1.5,1.3,1.00,32477,30,Godlike,Single Target
Hurler,A1,Spin Throw,ATK,16606,1.5,1.3,1.00,32382,30,Godlike,Single Target
Alika,A1,Gap Shot,ATK,17258,1.5,1.25,1.00,32359,25,Godlike,Single Target
Fenax,A1,Put Down,ATK,17954,1.5,1.2,1.00,32317,20,Godlike,Single Target
Bonekeeper,A2,Precision Strike,ATK,17202,1.5,1.25,1.00,32254,25,Godlike,Single Target
Harrier,A3,Deadeye's Strike,ATK,17686,1.5,1.2,1.00,31835,20,Godlike,Single Target
Cruetraxa,A1,Dire Perforation,ATK,16897,1.5,1.25,1.00,31682,25,Godlike,Single Target
Cupidus,A3,Flameout,ATK,19152,1.5,1.1,1.00,31601,10,Godlike,Single Target
Gwynneth,A3,Flow of Malaise,ATK,16189,1.5,1.3,1.00,31569,30,Godlike,Single Target
Maranix,A1,Reaper's Due,ATK,17298,1.5,1.2,1.00,31136,20,Godlike,Single Target
Beast Wrestler,A2,Slaughter Prey,ATK,15586,1.5,1.3,1.00,30393,30,Godlike,Single Target
Excruciator,A2,Neck Snapper,ATK,16728,1.5,1.2,1.00,30110,20,Godlike,Single Target
Walking Tomb Dreng,A3,Death's Balance,HP,24466,1,1.2,1.00,29359,20,Strong,Single Target
Gala Longbraids,A3,Sheer Swagger,ATK,14956,1.5,1.3,1.00,29164,30,Strong,Single Target
Bushi,A2,Deadly Edge,ATK,15535,1.5,1.25,1.00,29128,25,Godlike,Single Target
Robar,A3,Merciless Assault,ATK,15484,1.5,1.25,1.00,29033,25,Godlike,AoE Enemy
Errol,A3,Negation,ATK,13174,1.5,1.45,1.00,28653,45,Godlike,Single Target
Trunda Giltmallet,A3,Forge Rhythm,ATK,14656,1.5,1.3,1.00,28579,30,Godlike,AoE Enemy
Ripper,A3,Heavy Slam,ATK,15060,1.5,1.25,1.00,28238,25,Average,Single Target
Ogryn Jailer,A3,Reprisal,ATK,14456,1.5,1.3,1.00,28189,30,Godlike,Single Target
Occult Brawler,A2,Curse Eater,ATK,15653,1.5,1.2,1.00,28175,20,Strong,Single Target
Yaga the Insatiable,A3,Rot From Within,ATK,14308,1.5,1.3,1.00,27901,30,Godlike,Single Target
Karato Foxhunter,A2,Bedevil,ATK,15483,1.5,1.2,1.00,27869,20,Godlike,Single Target
Aleksandr the Sharpshooter,A3,Born to Win,ATK,15403,1.5,1.2,1.00,27725,20,Godlike,Single Target
Madman,A3,Crazed Lunge,ATK,14161,1.5,1.3,1.00,27614,30,Strong,Single Target
Ninja,A3,Cyan Slash,ATK,15946,1.5,1.15,1.00,27507,15,Average,Single Target
Fortus,A3,Astral Terrors,DEF,13113,1.6,1.3,1.00,27275,30,Godlike,AoE Enemy
Shemnath,A3,Humbled and Broken,ATK,15113,1.5,1.2,1.00,27203,20,Godlike,AoE Enemy
Ramantu Drakesblood,A2,Drake's Fury,ATK,15080,1.5,1.2,1.00,27144,20,Godlike,Single Target
Umetogi,A2,Silent Parting,ATK,13615,1.5,1.3,1.00,26549,30,Strong,Single Target
Haarken Greatblade,A1,Blooded Steel,ATK,14746,1.5,1.2,1.00,26543,20,Godlike,Single Target
Harrier,A2,Puncture Bolts,ATK,16078,1.5,1.1,1.00,26529,10,Strong,Single Target
Bloodfeather,A3,Charged Shot,ATK,14082,1.5,1.25,1.00,26404,25,Godlike,Single Target
Trunda Giltmallet,A2,Cloak of Ages,ATK,14656,1.5,1.2,1.00,26381,20,Godlike,Single Target
Lady Quilen,A2,Glory Hound,ATK,14648,1.5,1.2,1.00,26366,20,Godlike,Single Target
Konstantin the Dayborn,A1,Sword of Suns,ATK,14641,1.5,1.2,1.00,26354,20,Godlike,Single Target
Kytis,A3,Bleeding Wounds,ATK,13508,1.5,1.3,1.00,26341,30,Godlike,AoE Enemy
Vlad the Nightborn,A3,Mind Shroud,ATK,14622,1.5,1.2,1.00,26320,20,Godlike,Single Target
Hexia,A2,Soulreap,ATK,15181,1.5,1.15,1.00,26187,15,Godlike,Single Target
Konstantin the Dayborn,A2,Rune Shatter,ATK,14522,1.5,1.2,1.00,26140,20,Godlike,AoE Enemy
Rae,A2,Arcane Wave,ATK,13402,1.5,1.3,1.00,26134,30,Godlike,AoE Enemy
Belanor,A3,Overkill,ATK,15786,1.5,1.1,1.00,26047,10,Godlike,Single Target
Judicator,A3,Execution,ATK,14427,1.5,1.2,1.00,25969,20,Godlike,Single Target
Drillmaster,A2,Double Tap,ATK,14406,1.5,1.2,1.00,25931,20,Godlike,Single Target
Baron,A3,Righteous Charge,ATK,14383,1.5,1.2,1.00,25889,20,Godlike,Single Target
Boltsmith,A3,Piercer Munitions,ATK,14285,1.5,1.2,1.00,25713,20,Strong,Single Target
Astralon,A2,Divine Immanence,ATK,14255,1.5,1.2,1.00,25659,20,Godlike,Single Target
Konstantin the Dayborn,A3,Quietude,ATK,14204,1.5,1.2,1.00,25567,20,Godlike,Single Target
Anax,A1,Piercing Shotels,ATK,14774,1.5,1.15,1.00,25485,15,Godlike,Single Target
Leorius the Proud,A2,Rage of the Pride,ATK,13012,1.5,1.3,1.00,25373,30,Godlike,AoE Enemy
Fenax,A3,Sow Feebleness,ATK,14670,1.5,1.15,1.00,25306,15,Godlike,Single Target
Lua,A3,Lucky Shot,ATK,14029,1.5,1.2,1.00,25252,20,Godlike,Single Target
Shemnath,A2,Caryatid's Curse,ATK,14016,1.5,1.2,1.00,25229,20,Godlike,Single Target
Gaius the Gleeful,A3,Explosive Wit,ATK,13992,1.5,1.2,1.00,25186,20,Godlike,Single Target
Danag Skullreap,A3,Battle Flow,ATK,13429,1.5,1.25,1.00,25179,25,Godlike,Single Target
Grohak the Bloodied,A3,Lord of War,ATK,13429,1.5,1.25,1.00,25179,25,Godlike,Single Target
Scabrius,A3,Vicious Spite,ATK,13968,1.5,1.2,1.00,25142,20,Godlike,Single Target
Leorius the Proud,A1,Lion's Twinclaws,ATK,12883,1.5,1.3,1.00,25122,30,Godlike,Single Target
Roxam,A3,Flicker Step,ATK,15148,1.5,1.1,1.00,24994,10,Godlike,Single Target
King Garog,A3,Gore Maker,ATK,13858,1.5,1.2,1.00,24944,20,Godlike,AoE Enemy
Cruetraxa,A2,Curse of Writhing,ATK,15809,1.5,1.05,1.00,24899,5,Godlike,Single Target
Sorceress,A2,Magic Arrows,ATK,13805,1.5,1.2,1.00,24849,20,Godlike,Single Target
Belanor,A2,Insurmountable,ATK,13233,1.5,1.25,1.00,24812,25,Godlike,Single Target
Saito,A2,Enduring Warrior,ATK,13782,1.5,1.2,1.00,24808,20,Strong,Single Target
Ruffstone,A3,Slobbering Rush,ATK,13761,1.5,1.2,1.00,24770,20,Average,Single Target
Painsmith,A3,Helpless Victim,ATK,13205,1.5,1.25,1.00,24759,25,Strong,Single Target
Turvold,A1,Crackling Blade,ATK,13747,1.5,1.2,1.00,24745,20,Godlike,Single Target
Aina,A2,Bloody Swath,ATK,14299,1.5,1.15,1.00,24666,15,Strong,Single Target
Aina,A3,Overmaster,ATK,14299,1.5,1.15,1.00,24666,15,Strong,Single Target
Vizier Ovelis,A3,Vizier of Poisons,ATK,14922,1.5,1.1,1.00,24621,10,Strong,Single Target
Gloril Brutebane,A2,Prey Acquired,ATK,14260,1.5,1.15,1.00,24598,15,Strong,Single Target
Longbeard,A2,Brittleness Curse,ATK,13663,1.5,1.2,1.00,24593,20,Strong,Single Target
Inithwe Bloodtwin,A2,No Mercy,ATK,12524,1.5,1.3,1.00,24422,30,Strong,Single Target
Genzin,A3,Fated Vengeance,ATK,13018,1.5,1.25,1.00,24409,25,Strong,Single Target
Arbalester,A3,Soulbreak,ATK,14734,1.5,1.1,1.00,24311,10,Strong,Single Target
Galkut,A2,Brutal Battering,ATK,13466,1.5,1.2,1.00,24239,20,Strong,Random Enemy
Maeve,A3,And Stay Down,ATK,14690,1.5,1.1,1.00,24239,10,Strong,Single Target
Basilisk,A2,Skullclobber,ATK,13451,1.5,1.2,1.00,24212,20,Strong,Single Target
Hurndig,A3,Stasis Strike,ATK,13446,1.5,1.2,1.00,24203,20,Godlike,Single Target
Drake,A3,Decimate,ATK,13405,1.5,1.2,1.00,24129,20,Strong,Single Target
King Garog,A2,Hack to Bits,ATK,13339,1.5,1.2,1.00,24010,20,Strong,Single Target
Astralith,A2,Heart Rot,ATK,12746,1.5,1.25,1.00,23899,25,Strong,Single Target
Kalvalax,A3,Storm of Vitriol,ATK,12255,1.5,1.3,1.00,23897,30,Godlike,AoE Enemy
Roxam,A2,Jungle Ambush,ATK,14438,1.5,1.1,1.00,23823,10,Strong,Single Target
Vizier Ovelis,A2,Master of Misery,ATK,12209,1.5,1.3,1.00,23808,30,Strong,Single Target
Goremask,A2,Go for the Throat,ATK,11729,1.5,1.35,1.00,23751,35,Strong,Single Target
Baron,A2,Split Asunder,ATK,13185,1.5,1.2,1.00,23733,20,Strong,Single Target
Yannica,A2,Baffling Speed,ATK,14339,1.5,1.1,1.00,23659,10,Strong,Single Target
Kyoku,A1,One-Eyed Beast,DEF,13405,1.6,1.1,1.00,23593,10,Godlike,Single Target
Tuhak the Wanderer,A3,Clever Brutality,ATK,13037,1.5,1.2,1.00,23467,20,Strong,Single Target
Deathless,A3,Grim Revenge,DEF,11727,1.6,1.25,1.00,23454,25,Godlike,AoE Enemy
Maeve,A2,Slobber Knocker,ATK,12943,1.5,1.2,1.00,23297,20,Strong,Single Target
Lady Etessa,A2,Whiplash,ATK,12385,1.5,1.25,1.00,23222,25,Strong,Single Target
Suwai Firstborn,A3,Deaden Reactions,ATK,13462,1.5,1.15,1.00,23222,15,Strong,Single Target
Necrohunter,A3,Tomb Stalker,ATK,12895,1.5,1.2,1.00,23211,20,Strong,Single Target
Tormin the Cold,A2,Iceberg Crush,DEF,12066,1.6,1.2,1.00,23167,20,Strong,Single Target
Gwynneth,A2,Apathy,ATK,12870,1.5,1.2,1.00,23166,20,Strong,Single Target
Chani,A2,Soul Fire,ATK,11879,1.5,1.3,1.00,23164,30,Strong,Single Target
Aothar,A3,Brand,ATK,12338,1.5,1.25,1.00,23134,25,Strong,Single Target
Defiled Sinner,A2,Ripe for Slaughter,ATK,11820,1.5,1.3,1.00,23049,30,Strong,Single Target
Haarken Greatblade,A3,Infectious Panic,ATK,12288,1.5,1.25,1.00,23040,25,Strong,Single Target
Oboro,A3,Ninja Arts,ATK,12262,1.5,1.25,1.00,22991,25,Strong,Single Target
Rugnor Goldgleam,A3,Gleam of Avarice,ATK,12773,1.5,1.2,1.00,22991,20,Strong,Single Target
Ripper,A2,No Quarter,ATK,12759,1.5,1.2,1.00,22966,20,Strong,Single Target
Fahrakin the Fat,A2,Brand of Shame,ATK,13913,1.5,1.1,1.00,22956,10,Strong,Single Target
Haarken Greatblade,A2,Fearsome Iron Slab,ATK,13852,1.5,1.1,1.00,22856,10,Strong,Single Target
Anax,A3,Soul Feast,ATK,13851,1.5,1.1,1.00,22854,10,Strong,Single Target
Juliana,A3,Fire of Purgation,ATK,12684,1.5,1.2,1.00,22831,20,Strong,Single Target
Fenshi,A2,Nowhere to Run,ATK,13227,1.5,1.15,1.00,22817,15,Strong,Single Target
Theresc,A2,Dress Down,ATK,12646,1.5,1.2,1.00,22763,20,Strong,Single Target
Oboro,A2,Mystic Smoke,ATK,13794,1.5,1.1,1.00,22760,10,Strong,Single Target
Death Hound,A1,Neck Bite,ATK,12644,1.5,1.2,1.00,22759,20,Average,Single Target
Hollow,A3,Aether Strike,ATK,12614,1.5,1.2,1.00,22705,20,Average,Single Target
Skimfos the Consumed,A3,Clutch of Woe,ATK,12095,1.5,1.25,1.00,22678,25,Strong,Single Target
Ultimate Galek,A2,Crushing Hopes,ATK,12047,1.5,1.25,1.00,22588,25,Strong,Single Target
Soulless,A3,Reign of Terror,DEF,12810,1.6,1.1,1.00,22546,10,Godlike,AoE Enemy
Leorius the Proud,A3,Awesome Roar,ATK,12525,1.5,1.2,1.00,22545,20,Godlike,AoE Enemy
Hordin,A2,Bloodletter,ATK,13064,1.5,1.15,1.00,22535,15,Strong,Single Target
Chopper,A3,Incapacitate,ATK,13022,1.5,1.15,1.00,22463,15,Strong,Single Target
Acrizia,A3,Shut Down,ATK,13566,1.5,1.1,1.00,22384,10,Strong,Single Target
Altan,A2,Wall of Flame,DEF,11616,1.6,1.2,1.00,22303,20,Strong,Single Target
Alaric the Hooded,A2,Demand Chivalry,ATK,12919,1.5,1.15,1.00,22285,15,Strong,Single Target
Ailil,A2,Pierce the Carapace,ATK,12364,1.5,1.2,1.00,22255,20,Strong,Single Target
Ruella,A2,No Respite,ATK,13482,1.5,1.1,1.00,22245,10,Strong,Single Target
Taya,A2,Venom Kunai,ATK,12896,1.5,1.15,1.00,22246,15,Strong,Single Target
Septimus,A1,Behead,ATK,11856,1.5,1.25,1.00,22230,25,Godlike,Single Target
Steel Bowyer,A2,Thrill of the Hunt,ATK,10965,1.5,1.35,1.00,22204,35,Strong,Single Target
Catacomb Councilor,A2,Ghoulish Feeding,ATK,11824,1.5,1.25,1.00,22170,25,Strong,Single Target
Wanderer,A3,Pierce Through,ATK,12314,1.5,1.2,1.00,22165,20,Average,Single Target
Marksman,A2,Impressive Shot,ATK,12311,1.5,1.2,1.00,22160,20,Strong,Single Target
Drake,A2,Final Blow,ATK,12288,1.5,1.2,1.00,22118,20,Strong,Single Target
Queen Eva,A2,Ancient Curse,ATK,11793,1.5,1.25,1.00,22112,25,Strong,Single Target
Conquerer,A3,Purge,ATK,11787,1.5,1.25,1.00,22101,25,Strong,Single Target
Delver,A2,Mark for Death,ATK,12277,1.5,1.2,1.00,22099,20,Strong,Single Target
Tormentor,A3,Creeping Doom,ATK,12274,1.5,1.2,1.00,22093,20,Strong,Single Target
Wanderer,A2,Blade Symphony,ATK,12804,1.5,1.15,1.00,22087,15,Strong,Single Target
Whisper,A3,Unyielding Flurry,ATK,11309,1.5,1.3,1.00,22053,30,Strong,Single Target
Karam,A3,Rot Away,ATK,13354,1.5,1.1,1.00,22034,10,Strong,Single Target
Lord Shazar,A1,Damnation,ATK,11751,1.5,1.25,1.00,22033,25,Godlike,Single Target
Scion,A2,Evil Seed,ATK,12773,1.5,1.15,1.00,22033,15,Strong,Single Target
Geomancer,A2,Creeping Petrify,ATK,12238,1.5,1.2,1.00,22028,20,Strong,Single Target
Terrorbeast,A3,Flesh Feast,ATK,12234,1.5,1.2,1.00,22021,20,Strong,Single Target
Cillian the Lucky,A2,Inflict Misfortune,ATK,12762,1.5,1.15,1.00,22014,15,Strong,Single Target
Jinglehunter,A2,Jacked Frost,ATK,13269,1.5,1.1,1.00,21894,10,Strong,Single Target
Hurler,A3,Pin Down,ATK,11657,1.5,1.25,1.00,21857,25,Strong,Single Target
Yakarl the Scourge,A1,Axe of Allwinter,ATK,13237,1.5,1.1,1.00,21841,10,Godlike,Single Target
Nobel,A2,Harbinger,ATK,12653,1.5,1.15,1.00,21826,15,Average,Single Target
Taya,A3,Blood Boil,ATK,12125,1.5,1.2,1.00,21825,20,Strong,Single Target
Faceless,A2,Lightning,ATK,11627,1.5,1.25,1.00,21801,25,Strong,Single Target
Cillian the Lucky,A3,Head Ringer,ATK,12102,1.5,1.2,1.00,21784,20,Strong,Single Target
Exemplar,A3,Capture,ATK,14489,1.5,1,1.00,21734,0,Strong,Single Target
Jarang,A2,Stunning Toss,ATK,12588,1.5,1.15,1.00,21714,15,Strong,Single Target
Siegehulk,A3,Siege Breaker,ATK,13158,1.5,1.1,1.00,21711,10,Strong,Single Target
Harvester,A3,Temporal Burst,ATK,13151,1.5,1.1,1.00,21699,10,Strong,Single Target
Fayne,A3,Flowing Style,ATK,13098,1.5,1.1,1.00,21612,10,Strong,Single Target
Gory,A1,Cold Comfort,ATK,11985,1.5,1.2,1.00,21573,20,Godlike,Single Target
Halberdier,A2,Bisect,ATK,11980,1.5,1.2,1.00,21564,20,Strong,Single Target
Redeemer,A2,Elven Blade,ATK,13068,1.5,1.1,1.00,21562,10,Strong,Single Target
Preserver,A1,Exhausting Assault,ATK,13064,1.5,1.1,1.00,21556,10,Godlike,Single Target
Rhazin Scarhide,A2,Shear,DEF,11222,1.6,1.2,1.00,21546,20,Strong,Single Target
Outrider,A2,Fire Arrow,ATK,12471,1.5,1.15,1.00,21512,15,Strong,Single Target
Candraphon,A2,Butcher's Glee,ATK,11946,1.5,1.2,1.00,21503,20,Godlike,AoE Enemy
Pigsticker,A3,Septic Spearhead,ATK,11921,1.5,1.2,1.00,21458,20,Strong,Single Target
Lordly Legionary,A2,Outflank,ATK,11916,1.5,1.2,1.00,21449,20,Strong,Single Target
Baerdal Fellhammer,A2,Fey Protection,ATK,11415,1.5,1.25,1.00,21403,25,Strong,Single Target
Peydma,A3,Appropriate,DEF,11139,1.6,1.2,1.00,21387,20,Strong,Single Target
Anax,A2,Deathly Ichors,ATK,12928,1.5,1.1,1.00,21331,10,Strong,Single Target
Necrohunter,A2,Gravestorm,ATK,11838,1.5,1.2,1.00,21308,20,Godlike,Single Target
Yelagirna,A3,Sword of Loss,ATK,11834,1.5,1.2,1.00,21301,20,Strong,Single Target
Confessor,A3,Unyielding Fervor,ATK,12324,1.5,1.15,1.00,21259,15,Strong,Single Target
Maiden,A3,Sow Confusion,ATK,11808,1.5,1.2,1.00,21254,20,Strong,Single Target
Head Taker,A2,Weakling!,ATK,10893,1.5,1.3,1.00,21241,30,Strong,Single Target
Brakus the Shifter,A1,Innocent Blood,ATK,11791,1.5,1.2,1.00,21224,20,Godlike,Single Target
Hexia,A3,Spirit Harvest,ATK,12860,1.5,1.1,1.00,21219,10,Strong,Single Target
Ox,A3,Destroy Confidence,ATK,14144,1.5,1,1.00,21216,0,Strong,Single Target
Heartpiercer,A2,Sight In,ATK,11779,1.5,1.2,1.00,21202,20,Strong,Single Target
Wyvernbane,A3,Cursefire Spear,ATK,11764,1.5,1.2,1.00,21175,20,Strong,Single Target
Richtoff the Bold,A2,Bloodletting,ATK,12275,1.5,1.15,1.00,21174,15,Strong,Single Target
Masked Fearmonger,A2,Haunted Machete,ATK,12261,1.5,1.15,1.00,21150,15,Strong,Single Target
Skraank,A2,Sup On Blood,ATK,11731,1.5,1.2,1.00,21116,20,Strong,Single Target
Raider,A1,Savagery,ATK,11727,1.5,1.2,1.00,21109,20,Godlike,Single Target
Bloodfeather,A2,Armor Breaker,ATK,12235,1.5,1.15,1.00,21105,15,Strong,Single Target
Reinbeast,A2,Open Slay,DEF,10992,1.6,1.2,1.00,21105,20,Strong,Single Target
Harrier,A1,Trick Shot,ATK,11255,1.5,1.25,1.00,21103,25,Godlike,Single Target
Tayrel,A3,Preemptive Strike,DEF,10134,1.6,1.3,1.00,21079,30,Strong,Single Target
Stitched Beast,A3,Pack Tactics,ATK,10807,1.5,1.3,1.00,21074,30,Strong,Single Target
Rocktooth,A1,Grab,ATK,11688,1.5,1.2,1.00,21038,20,Godlike,Single Target
Zargala,A2,Devastate,ATK,11204,1.5,1.25,1.00,21008,25,Strong,Single Target
Witness,A1,Long Shot,ATK,11202,1.5,1.25,1.00,21004,25,Godlike,Single Target
Bone Knight,A2,Ancient Seal,ATK,11662,1.5,1.2,1.00,20992,20,Strong,Single Target
Taurus,A2,Tendon Slash,ATK,12157,1.5,1.15,1.00,20971,15,Strong,Single Target
Chemist,A2,Alchemic Stunner,ATK,10752,1.5,1.3,1.00,20966,30,Strong,Single Target
Fayne,A2,Flower's Tears,ATK,11643,1.5,1.2,1.00,20957,20,Strong,Single Target
Yaga the Insatiable,A2,Hungering Plague,ATK,11640,1.5,1.2,1.00,20952,20,Strong,Single Target
Dervish,A2,Sealing Arrow,ATK,13928,1.5,1,1.00,20892,0,Strong,Single Target
Knight-Errant,A1,Half-Sword,ATK,13924,1.5,1,1.00,20886,0,Godlike,Single Target
Quaestor,A3,Depletion,ATK,11571,1.5,1.2,1.00,20828,20,Strong,Single Target
Scrapper,A2,Crowd Pleaser,ATK,12061,1.5,1.15,1.00,20805,15,Strong,Single Target
Gorlos Hellmaw,A3,Gnashing Fangs,ATK,11557,1.5,1.2,1.00,20803,20,Strong,Single Target
Exemplar,A1,High Stance,ATK,11547,1.5,1.2,1.00,20785,20,Godlike,Single Target
Fodbor the Bard,A2,Robber's Tale,ATK,12043,1.5,1.15,1.00,20774,15,Strong,Single Target
Pigsticker,A2,Heartless Curse,ATK,11523,1.5,1.2,1.00,20741,20,Strong,Single Target
Grimskin,A2,Frustrating Muck,DEF,11261,1.6,1.15,1.00,20720,15,Strong,Single Target
Crimson Slayer,A2,Flowing Sword,ATK,11036,1.5,1.25,1.00,20693,25,Strong,Single Target
Solaris,A3,Blinding Bash,ATK,11969,1.5,1.15,1.00,20647,15,Strong,Single Target
Rowan,A3,Blade Surge,ATK,12511,1.5,1.1,1.00,20643,10,Strong,Single Target
Dagger,A3,Swordbreak Knife,ATK,11946,1.5,1.15,1.00,20607,15,Strong,Single Target
Penitent,A1,Sword of Faith,ATK,11426,1.5,1.2,1.00,20567,20,Godlike,Single Target
Iron Brago,A2,Fearless Charge,DEF,10682,1.6,1.2,1.00,20509,20,Strong,Single Target
Erinyes,A3,Engulfing Flame,ATK,10891,1.5,1.25,1.00,20421,25,Strong,Single Target
Skinner,A2,Skinning Slice,ATK,11344,1.5,1.2,1.00,20419,20,Strong,Single Target
Dilgol,A3,Big Game Hunter,ATK,11816,1.5,1.15,1.00,20383,15,Strong,Single Target
Cormac the Highpeak,A2,Highpeak's Reach,ATK,11320,1.5,1.2,1.00,20376,20,Strong,Single Target
Luria,A3,Hex,ATK,11311,1.5,1.2,1.00,20360,20,Strong,Single Target
Renouncer,A3,Battlefield Grace,ATK,11308,1.5,1.2,1.00,20354,20,Strong,Single Target
Gloril Brutebane,A3,Heroic Company,ATK,11296,1.5,1.2,1.00,20333,20,Strong,Single Target
Painsmith,A2,Utter Destruction,ATK,11292,1.5,1.2,1.00,20326,20,Strong,Single Target
Throatcutter,A2,Gratuitous Death,ATK,10818,1.5,1.25,1.00,20284,25,Strong,Single Target
